,OSM,OGD
Total infrastructure length (km),909.6966798661822,2162.0014161979493
Protected bicycle infrastructure density (m/km2),1275.1208373041611,3743.137834140646
Unprotected bicycle infrastructure density (m/km2),907.4793519320106,1471.0416556370092
Mixed protection bicycle infrastructure density (m/km2),11.069967893502673,0.0
Bicycle infrastructure density (m/km2),2193.949427849397,5214.179489777655
Nodes,4836.0,11618.0
Dangling nodes,2470.0,4189.0
Nodes per km2,11.66316165366287,28.019564121640865
Dangling nodes per km2,5.956991167193402,10.102767611082252
Overshoots,9.0,186.0
Undershoots,21.0,864.0
Components,677.0,952.0
Length of largest component (km),346.78836039904627,721.5911760589323
Largest component's share of network length,47.503357580587576,49.99595491761716
Component gaps,145.0,985.0
Alpha,0.05834281576497362,0.035469846326029876
Beta,0.9766335814722912,0.9889826131864349
Gamma,0.32567921665977106,0.32971763085399447
